Port,Id,Len,B0,B1,B2,B3,B4,B5,B6,B7,PGN,DaSa,B0.1,B1.1,B2.1,B3.1,B4.1,B5.1,B6.1,B7.1
CAN,0C682601,8,80,0,0,0,0,0,0,0,0C68,2601,10000000,0,0,0,0,0,0,0
CAN,18650126,8,2C,E8,23,1A,0,0,0,8,1865,0126,101100,11101000,100011,11010,0,0,0,1000
CAN,18650126,8,2C,EA,13,F2,FF,FF,FF,3,1865,0126,101100,11101010,10011,11110010,11111111,11111111,11111111,11
CAN,18650126,8,2C,EA,33,CA,FF,FF,FF,3,1865,0126,101100,11101010,110011,11001010,11111111,11111111,11111111,11
CAN,18650126,8,2C,E8,33,C8,FF,FF,FF,9,1865,0126,101100,11101000,110011,11001000,11111111,11111111,11111111,1001
CAN,0C682601,8,80,88,2,0,0,0,0,0,0C68,2601,10000000,10001000,10,0,0,0,0,0
CAN,18650126,8,2C,E8,23,C6,FF,FF,FF,0B,1865,0126,101100,11101000,100011,11000110,11111111,11111111,11111111,1011
CAN,18650126,8,2C,EA,13,FA,FF,FF,FF,5,1865,0126,101100,11101010,10011,11111010,11111111,11111111,11111111,101
CAN,18650126,8,2C,EA,33,10,0,0,0,4,1865,0126,101100,11101010,110011,10000,0,0,0,100
CAN,18650126,8,2C,E8,33,C0,FF,FF,FF,0B,1865,0126,101100,11101000,110011,11000000,11111111,11111111,11111111,1011
CAN,18650126,8,2C,E8,23,D8,FF,FF,FF,0D,1865,0126,101100,11101000,100011,11011000,11111111,11111111,11111111,1101
CAN,18650126,8,2C,EA,13,0A,0,0,0,6,1865,0126,101100,11101010,10011,1010,0,0,0,110
CAN,18650126,8,2C,EA,33,10,0,0,0,6,1865,0126,101100,11101010,110011,10000,0,0,0,110
CAN,18650126,8,2C,E8,33,EC,FF,FF,FF,0D,1865,0126,101100,11101000,110011,11101100,11111111,11111111,11111111,1101
CAN,18640126,4,A8,0,8,0,,,,,1864,0126,10101000,0,1000,0,0,0,0,0
CAN,18640126,6,A9,1,0,0,0,0,,,1864,0126,10101001,1,0,0,0,0,0,0
CAN,18650126,8,2C,E8,23,D8,FF,FF,FF,0F,1865,0126,101100,11101000,100011,11011000,11111111,11111111,11111111,1111
CAN,18650126,8,2C,EA,13,E8,FF,FF,FF,9,1865,0126,101100,11101010,10011,11101000,11111111,11111111,11111111,1001
CAN,18650126,8,2C,EA,33,32,0,0,0,8,1865,0126,101100,11101010,110011,110010,0,0,0,1000
CAN,18650126,8,2C,E8,33,DA,FF,FF,FF,0F,1865,0126,101100,11101000,110011,11011010,11111111,11111111,11111111,1111
CAN,18650126,8,2C,E8,23,D8,FF,FF,FF,1,1865,0126,101100,11101000,100011,11011000,11111111,11111111,11111111,1
CAN,18650126,8,2C,EA,13,F2,FF,FF,FF,0B,1865,0126,101100,11101010,10011,11110010,11111111,11111111,11111111,1011
CAN,18650126,8,2C,EA,33,0,0,0,0,0A,1865,0126,101100,11101010,110011,0,0,0,0,1010
CAN,0467FF26,5,34,78,10,18,0,,,,0467,FF26,110100,1111000,10000,11000,0,0,0,0
CAN,18650126,8,2C,E8,33,DA,FF,FF,FF,1,1865,0126,101100,11101000,110011,11011010,11111111,11111111,11111111,1
CAN,18650126,8,2C,E8,23,D8,FF,FF,FF,3,1865,0126,101100,11101000,100011,11011000,11111111,11111111,11111111,11
CAN,18650126,8,2C,EA,13,FA,FF,FF,FF,0D,1865,0126,101100,11101010,10011,11111010,11111111,11111111,11111111,1101
CAN,18650126,8,2C,EA,33,20,0,0,0,0C,1865,0126,101100,11101010,110011,100000,0,0,0,1100
CAN,18650126,8,2C,E8,33,EC,FF,FF,FF,3,1865,0126,101100,11101000,110011,11101100,11111111,11111111,11111111,11
CAN,18650126,8,2C,EA,23,1E,0,0,0,6,1865,0126,101100,11101010,100011,11110,0,0,0,110
CAN,18682601,3,51,7F,2,,,,,,1868,2601,1010001,1111111,10,0,0,0,0,0
CAN,18650126,8,2C,EA,13,2,0,0,0,0E,1865,0126,101100,11101010,10011,10,0,0,0,1110
CAN,18EF0126,6,2A,FA,13,3C,0,0,,,18EF,0126,101010,11111010,10011,111100,0,0,0,0
CAN,18650126,8,2C,EA,33,0,0,0,0,0E,1865,0126,101100,11101010,110011,0,0,0,0,1110
CAN,18650126,8,2C,E8,23,D8,FF,FF,FF,5,1865,0126,101100,11101000,100011,11011000,11111111,11111111,11111111,101
CAN,0C682601,3,0C,0,0,,,,,,0C68,2601,1100,0,0,0,0,0,0,0
CAN,18650126,8,2C,E8,33,DA,FF,FF,FF,5,1865,0126,101100,11101000,110011,11011010,11111111,11111111,11111111,101
CAN,0C682601,8,80,0,0,0,0,0,0,0,0C68,2601,10000000,0,0,0,0,0,0,0
CAN,0467FF26,5,F4,20,10,18,0,,,,0467,FF26,11110100,100000,10000,11000,0,0,0,0
CAN,18650126,8,2C,E8,23,C6,FF,FF,FF,7,1865,0126,101100,11101000,100011,11000110,11111111,11111111,11111111,111
CAN,18650126,8,2C,EA,13,F2,FF,FF,FF,1,1865,0126,101100,11101010,10011,11110010,11111111,11111111,11111111,1
CAN,18650126,8,2C,EA,33,10,0,0,0,0,1865,0126,101100,11101010,110011,10000,0,0,0,0
CAN,18650126,8,2C,E8,33,DA,FF,FF,FF,7,1865,0126,101100,11101000,110011,11011010,11111111,11111111,11111111,111
CAN,0C682601,8,80,88,2,0,0,0,0,0,0C68,2601,10000000,10001000,10,0,0,0,0,0
CAN,18650126,8,2C,E8,23,E0,FF,FF,FF,9,1865,0126,101100,11101000,100011,11100000,11111111,11111111,11111111,1001
CAN,18650126,8,2C,EA,13,2,0,0,0,2,1865,0126,101100,11101010,10011,10,0,0,0,10
CAN,18650126,8,2C,EA,33,F6,FF,FF,FF,3,1865,0126,101100,11101010,110011,11110110,11111111,11111111,11111111,11
CAN,18650126,8,2C,E8,33,F4,FF,FF,FF,9,1865,0126,101100,11101000,110011,11110100,11111111,11111111,11111111,1001
CAN,18650126,8,2C,E8,23,D8,FF,FF,FF,0B,1865,0126,101100,11101000,100011,11011000,11111111,11111111,11111111,1011
CAN,18650126,8,2C,EA,13,F2,FF,FF,FF,5,1865,0126,101100,11101010,10011,11110010,11111111,11111111,11111111,101
CAN,18650126,8,2C,EA,33,16,0,0,0,4,1865,0126,101100,11101010,110011,10110,0,0,0,100
CAN,18650126,8,2C,E8,33,E2,FF,FF,FF,0B,1865,0126,101100,11101000,110011,11100010,11111111,11111111,11111111,1011
CAN,18650126,8,2C,E8,23,C6,FF,FF,FF,0D,1865,0126,101100,11101000,100011,11000110,11111111,11111111,11111111,1101
CAN,18650126,8,2C,EA,13,22,0,0,0,6,1865,0126,101100,11101010,10011,100010,0,0,0,110
CAN,18650126,8,2C,EA,33,32,0,0,0,6,1865,0126,101100,11101010,110011,110010,0,0,0,110
CAN,18650126,8,2C,E8,33,FC,FF,FF,FF,0D,1865,0126,101100,11101000,110011,11111100,11111111,11111111,11111111,1101
CAN,18640126,4,28,0,8,0,,,,,1864,0126,101000,0,1000,0,0,0,0,0
CAN,18640126,6,A9,0,0,0,0,0,,,1864,0126,10101001,0,0,0,0,0,0,0
CAN,18650126,8,2C,8,14,0,0,0,0,0E,1865,0126,101100,1000,10100,0,0,0,0,1110
CAN,18650126,8,2C,EA,13,F2,FF,FF,FF,9,1865,0126,101100,11101010,10011,11110010,11111111,11111111,11111111,1001
CAN,18650126,8,2C,EA,33,42,0,0,0,8,1865,0126,101100,11101010,110011,1000010,0,0,0,1000
CAN,18650126,8,2C,E8,23,C6,FF,FF,FF,0F,1865,0126,101100,11101000,100011,11000110,11111111,11111111,11111111,1111
CAN,18650126,8,2C,E8,13,B0,FF,FF,FF,0F,1865,0126,101100,11101000,10011,10110000,11111111,11111111,11111111,1111
CAN,18650126,8,2C,E8,33,EC,FF,FF,FF,0F,1865,0126,101100,11101000,110011,11101100,11111111,11111111,11111111,1111
CAN,18650126,8,2C,EA,13,2,0,0,0,0A,1865,0126,101100,11101010,10011,10,0,0,0,1010
CAN,18650126,8,2C,EA,33,32,0,0,0,0A,1865,0126,101100,11101010,110011,110010,0,0,0,1010
CAN,18650126,8,2C,E8,23,D8,FF,FF,FF,1,1865,0126,101100,11101000,100011,11011000,11111111,11111111,11111111,1
CAN,18650126,8,2C,E8,33,FC,FF,FF,FF,1,1865,0126,101100,11101000,110011,11111100,11111111,11111111,11111111,1
CAN,0C682601,3,0C,0,0,,,,,,0C68,2601,1100,0,0,0,0,0,0,0
CAN,0467FF26,5,34,78,10,18,0,,,,0467,FF26,110100,1111000,10000,11000,0,0,0,0
CAN,18650126,8,2C,EA,13,F2,FF,FF,FF,0D,1865,0126,101100,11101010,10011,11110010,11111111,11111111,11111111,1101
CAN,18650126,8,2C,EA,33,32,0,0,0,0C,1865,0126,101100,11101010,110011,110010,0,0,0,1100
CAN,0C682601,8,80,0,0,0,0,0,0,0,0C68,2601,10000000,0,0,0,0,0,0,0
CAN,18650126,8,2C,E8,23,F2,FF,FF,FF,3,1865,0126,101100,11101000,100011,11110010,11111111,11111111,11111111,11
CAN,18650126,8,2C,E8,33,FC,FF,FF,FF,3,1865,0126,101100,11101000,110011,11111100,11111111,11111111,11111111,11
CAN,0C682601,8,80,88,2,0,0,0,0,0,0C68,2601,10000000,10001000,10,0,0,0,0,0
CAN,18650126,8,2C,EA,13,12,0,0,0,0E,1865,0126,101100,11101010,10011,10010,0,0,0,1110
CAN,18650126,8,2C,EA,33,0E,0,0,0,0E,1865,0126,101100,11101010,110011,1110,0,0,0,1110
CAN,18650126,8,2C,E8,23,E8,FF,FF,FF,5,1865,0126,101100,11101000,100011,11101000,11111111,11111111,11111111,101
CAN,18650126,8,2C,E8,33,DA,FF,FF,FF,5,1865,0126,101100,11101000,110011,11011010,11111111,11111111,11111111,101
CAN,18682601,2,50,30,,,,,,,1868,2601,1010000,110000,0,0,0,0,0,0
CAN,18640126,6,29,1,0,0,0,0,,,1864,0126,101001,1,0,0,0,0,0,0
CAN,18650126,8,2C,EA,13,F2,FF,FF,FF,1,1865,0126,101100,11101010,10011,11110010,11111111,11111111,11111111,1
CAN,18650126,8,2C,EA,33,16,0,0,0,0,1865,0126,101100,11101010,110011,10110,0,0,0,0
CAN,18650126,8,2C,E8,23,D8,FF,FF,FF,7,1865,0126,101100,11101000,100011,11011000,11111111,11111111,11111111,111
CAN,18650126,8,2C,E8,33,4,0,0,0,6,1865,0126,101100,11101000,110011,100,0,0,0,110
CAN,0467FF26,5,F4,20,10,18,0,,,,0467,FF26,11110100,100000,10000,11000,0,0,0,0
CAN,18650126,8,2C,EA,13,12,0,0,0,2,1865,0126,101100,11101010,10011,10010,0,0,0,10
CAN,18650126,8,2C,EA,33,16,0,0,0,2,1865,0126,101100,11101010,110011,10110,0,0,0,10
CAN,18650126,8,2C,E8,23,FA,FF,FF,FF,9,1865,0126,101100,11101000,100011,11111010,11111111,11111111,11111111,1001
CAN,18650126,8,2C,E8,33,D2,FF,FF,FF,9,1865,0126,101100,11101000,110011,11010010,11111111,11111111,11111111,1001
CAN,18650126,8,2C,EA,13,F2,FF,FF,FF,5,1865,0126,101100,11101010,10011,11110010,11111111,11111111,11111111,101
